Frame	X	Y	Z
1	49.25	50.22	inf
2	48.5	51.4	inf
3	49.5	51.06	inf
4	49.2	51.38	inf
5	49.1	49.22	inf
6	49.25	50.25	inf
7	49.3	49.8	inf
8	49.44	49.12	inf
9	49.56	49.75	inf
10	48.94	50.25	inf
11	48.38	50.2	inf
12	48.47	51.56	inf
13	47.22	50.7	inf
14	48.03	50.62	inf
15	47.8	49.78	inf
16	48.03	50.34	inf
17	48.56	50.44	inf
18	48.2	50.56	inf
19	47.78	50.34	inf
20	48.4	49.47	inf
21	47.62	48.72	inf
22	47.56	48.97	inf
23	47.62	50.03	inf
24	48.44	49.8	inf
25	47.72	49.56	inf
26	47.4	49.75	inf
27	47.8	48.75	inf
28	47.25	48.88	inf
29	46.56	48.22	inf
30	47.1	48.38	inf
31	47.28	49.12	inf
32	46.53	49.78	inf
33	46.9	50.34	inf
34	47.25	49.6	inf
35	46.8	49.88	inf
36	46.94	49.4	inf
37	47.6	49.28	inf
38	47.2	49.4	inf
39	48.1	48.75	inf
40	47.94	48.53	inf
41	47.7	49.38	inf
42	48.06	48.8	inf
43	48.2	48.97	inf
44	48.3	49.66	inf
45	47.97	49.78	inf
46	48.88	49.47	inf
47	48.0	49.66	inf
48	48.03	48.94	inf
49	48.47	49.6	inf
50	48.44	48.44	inf
51	47.78	48.56	inf
52	47.6	48.28	inf
53	47.75	49.06	inf
54	48.1	49.03	inf
55	47.3	49.28	inf
56	47.25	49.25	inf
57	46.8	49.4	inf
58	47.3	49.78	inf
59	47.28	48.75	inf
60	47.25	49.8	inf
61	47.03	48.94	inf
62	47.2	49.66	inf
63	48.28	49.72	inf
64	47.88	49.84	inf
65	47.44	49.7	inf
66	48.25	50.5	inf
67	47.8	49.12	inf
68	47.6	49.94	inf
69	48.12	50.44	inf
70	47.5	50.03	inf
71	46.94	49.88	inf
72	46.97	49.12	inf
73	48.06	48.97	inf
74	47.72	48.84	inf
75	47.28	49.3	inf
76	47.4	49.75	inf
77	47.66	49.4	inf
78	48.03	48.3	inf
79	48.53	49.53	inf
80	47.66	49.44	inf
81	47.38	49.7	inf
82	47.75	49.06	inf
83	47.75	48.8	inf
84	47.78	49.1	inf
85	47.75	47.97	inf
86	47.12	49.06	inf
87	47.12	49.2	inf
88	47.78	48.12	inf
89	47.66	48.2	inf
90	47.25	49.4	inf
91	47.38	48.94	inf
92	47.75	49.25	inf
93	47.7	50.16	inf
94	47.75	50.12	inf
95	47.84	49.0	inf
96	48.4	49.2	inf
97	48.4	50.66	inf
98	48.47	50.34	inf
99	47.38	49.78	inf
100	47.3	48.6	inf
Average	47.84	49.5	inf
