Frame	X	Y	Z
1	55.38	38.22	58.5
2	55.06	38.38	58.97
3	56.1	38.12	58.25
4	55.7	38.56	58.3
5	55.6	38.03	58.34
6	55.9	38.38	57.97
7	56.1	37.88	57.94
8	55.4	38.66	58.56
9	55.1	38.7	58.38
10	55.25	38.5	58.34
11	55.4	38.28	58.2
12	55.56	38.25	58.25
13	55.06	38.34	58.47
14	55.3	38.12	58.4
15	54.88	38.34	58.06
16	55.0	38.62	58.25
17	55.56	38.8	58.1
18	55.22	38.62	57.8
19	56.1	38.75	58.22
20	56.06	38.7	57.7
21	55.1	39.22	58.2
22	55.2	39.22	58.4
23	54.72	39.5	58.56
24	54.3	39.4	58.94
25	53.97	39.88	58.88
26	54.53	39.22	58.5
27	54.6	39.06	58.66
28	54.16	39.9	58.16
29	55.03	39.28	58.28
30	54.1	39.94	58.44
31	54.03	39.4	57.94
32	54.78	39.12	58.34
33	54.03	39.06	59.03
34	54.16	39.47	58.53
35	55.2	38.8	58.53
36	54.97	39.3	59.06
37	54.56	38.88	58.12
38	54.25	39.0	58.12
39	54.56	39.03	58.2
40	54.38	38.97	58.5
41	53.88	38.94	58.72
42	54.16	39.0	59.0
43	54.53	38.66	58.84
44	54.12	38.7	58.97
45	54.56	38.8	58.9
46	54.8	38.12	58.8
47	54.78	38.06	58.84
48	54.25	38.34	58.53
49	55.28	38.78	57.88
50	55.0	38.34	58.62
51	54.78	38.25	58.4
52	54.9	39.16	58.56
53	54.78	38.75	58.44
54	55.03	38.2	58.7
55	54.8	38.7	58.56
56	54.97	38.28	58.84
57	54.7	38.22	58.4
58	55.06	38.44	58.56
59	55.3	38.25	58.16
60	54.88	37.94	58.6
61	54.5	38.56	58.53
62	54.7	38.78	58.16
63	54.28	37.94	59.06
64	54.53	38.66	58.4
65	54.72	38.72	58.47
66	54.3	38.6	58.12
67	54.75	38.22	58.5
68	55.38	37.66	58.5
69	55.28	37.0	58.38
70	55.88	37.5	58.38
71	56.12	38.34	57.88
72	55.62	37.78	58.12
73	55.72	37.56	58.72
74	55.47	37.8	57.97
75	55.22	38.03	58.6
76	55.3	38.4	57.84
77	55.44	38.28	58.1
78	55.66	38.78	58.12
79	55.78	38.8	58.2
80	55.38	39.06	58.4
81	55.6	38.7	58.34
82	55.56	38.88	57.94
83	55.9	38.53	57.97
84	55.9	38.25	57.78
85	55.5	38.47	58.72
86	55.22	38.84	58.28
87	55.66	38.88	58.22
88	56.12	39.28	57.88
89	55.6	39.38	57.66
90	56.03	39.28	57.88
91	55.53	38.97	58.06
92	56.1	38.78	57.38
93	55.3	38.9	57.44
94	55.97	39.06	57.1
95	55.88	39.56	58.03
96	55.94	39.16	57.75
97	55.62	39.03	57.88
98	55.5	38.78	58.38
99	55.2	38.62	58.47
100	55.94	38.78	58.28
Average	55.12	38.66	58.3
