Frame	RMSD ($\AA$)
1	0.546
2	0.727
3	0.729
4	0.702
5	0.732
6	0.816
7	0.64
8	0.714
9	0.862
10	0.73
11	0.792
12	0.774
13	0.686
14	0.747
15	0.825
16	0.762
17	0.771
18	0.81
19	0.722
20	0.79
21	0.795
22	0.788
23	0.652
24	0.746
25	0.721
26	0.656
27	0.716
28	0.898
29	0.696
30	0.779
31	0.946
32	0.862
33	0.748
34	0.717
35	0.827
36	0.79
37	0.843
38	0.715
39	0.732
40	0.94
41	0.751
42	0.827
43	0.714
44	0.826
45	0.824
46	0.759
47	0.886
48	0.781
49	0.822
50	0.832
51	0.755
52	0.814
53	0.949
54	0.912
55	0.908
56	0.858
57	0.854
58	0.774
59	0.797
60	0.694
61	0.782
62	0.626
63	0.824
64	0.85
65	0.872
66	0.786
67	0.806
68	0.906
69	0.804
70	0.726
71	0.798
72	0.892
73	0.845
74	0.824
75	0.844
76	0.865
77	0.984
78	0.9
79	0.9
80	0.806
81	0.736
82	0.764
83	0.902
84	0.904
85	0.824
86	0.784
87	0.732
88	0.791
89	0.768
90	0.912
91	0.818
92	0.858
93	0.84
94	0.821
95	0.836
96	0.854
97	0.821
98	0.858
99	0.865
100	0.715
101	0.884
102	0.944
103	0.918
104	0.809
105	0.874
106	0.942
107	0.938
108	0.96
109	0.96
110	0.888
111	0.806
112	0.955
113	0.99
114	0.94
115	0.928
116	0.869
117	0.87
118	0.716
119	0.802
120	0.941
121	0.936
122	0.9
123	0.885
124	0.93
125	0.804
126	0.933
127	0.972
128	0.968
129	1.024
130	0.934
131	0.914
132	0.986
133	0.844
134	1.001
135	1.003
136	0.964
137	0.898
138	0.992
139	0.93
140	0.769
141	0.787
142	0.798
143	0.874
144	0.694
145	0.862
146	0.92
147	0.806
148	0.742
149	0.769
150	0.894
151	0.725
152	0.728
153	0.786
154	0.762
155	0.876
156	0.791
157	0.876
158	0.732
159	0.951
160	0.868
161	0.801
162	0.861
163	0.888
164	1.004
165	0.918
166	0.906
167	0.998
168	0.763
169	0.847
170	0.704
171	0.784
172	0.916
173	0.811
174	0.97
175	0.807
176	0.854
177	0.808
178	0.882
179	0.838
180	0.822
181	1.036
182	0.72
183	0.912
184	0.736
185	0.692
186	0.741
187	0.728
188	0.646
189	0.83
190	0.814
191	0.752
192	0.858
193	0.819
194	0.79
195	0.844
196	0.842
197	0.753
198	0.804
199	0.87
200	0.855
201	0.808
202	0.891
203	0.82
204	0.888
205	0.888
206	0.75
207	0.782
208	0.823
209	0.834
210	0.791
211	0.886
212	0.758
213	0.75
214	0.782
215	0.873
216	0.87
217	0.724
218	0.75
219	0.79
220	0.878
221	0.696
222	0.993
223	1.134
224	1.051
225	0.928
226	0.858
227	0.966
228	0.95
229	0.998
230	0.868
231	0.896
232	0.918
233	1.016
234	1.034
235	1.104
236	1.082
237	0.992
238	1.012
239	1.074
240	0.995
241	0.97
242	0.922
243	0.888
244	1.105
245	0.914
246	1.06
247	1.144
248	1.152
249	0.928
250	1.13
251	1.062
252	1.101
253	1.035
254	0.98
255	0.928
256	1.036
257	0.9
258	0.788
259	0.873
260	0.806
261	0.906
262	0.843
263	0.778
264	0.912
265	0.781
266	0.992
267	0.855
268	0.928
269	0.795
270	0.839
271	0.948
272	0.836
273	0.794
274	0.873
275	0.868
276	0.915
277	0.973
278	0.93
279	1.009
280	1.016
281	1.016
282	1.016
283	0.844
284	0.828
285	1.153
286	1.055
287	0.998
288	1.139
289	1.067
290	1.073
291	1.136
292	1.177
293	0.98
294	1.039
295	1.031
296	0.977
297	1.167
298	1.247
299	1.117
300	1.131
301	0.995
302	0.997
303	1.064
304	0.993
305	1.084
306	0.98
307	1.114
308	1.024
309	1.047
310	1.053
311	1.026
312	1.112
313	1.087
314	1.068
315	1.067
316	1.113
317	1.121
318	1.058
319	1.028
320	1.111
321	1.11
322	1.146
323	1.127
