Frame	RMSD ($\AA$)
1	1.972
2	1.835
3	1.977
4	1.903
5	1.935
6	1.905
7	2.139
8	1.946
9	2.018
10	2.07
11	2.191
12	2.059
13	1.975
14	2.047
15	2.012
16	1.986
17	2.137
18	1.99
19	1.859
20	1.997
21	1.982
22	2.037
23	2.004
24	1.983
25	2.332
26	2.008
27	1.837
28	1.97
29	1.942
30	2.096
31	2.113
32	2.008
33	2.092
34	2.049
35	2.066
36	2.1
37	2.139
38	2.037
39	2.01
40	1.938
41	2.014
42	2.045
43	2.287
44	2.068
45	2.041
46	2.068
47	2.24
48	2.178
49	2.053
50	2.195
51	2.123
52	2.09
53	2.105
54	2.082
55	1.98
56	1.782
57	2.232
58	2.166
59	2.072
60	2.256
61	2.184
62	2.182
63	2.084
64	1.998
65	2.018
66	2.268
67	2.096
68	2.094
69	2.096
70	2.084
71	2.127
72	2.176
73	1.971
74	2.12
75	1.993
76	2.102
77	1.998
78	2.049
79	1.843
80	1.824
81	2.104
82	2.006
83	1.973
84	2.043
85	2.066
86	2.043
87	2.008
88	1.905
89	1.982
90	1.974
91	2.088
92	1.881
93	1.971
94	2.04
95	1.987
96	2.041
97	2.123
98	2.154
99	1.935
100	2.027
101	2.135
102	2.07
103	2.168
104	2.098
105	1.911
106	2.068
107	1.978
108	2.035
109	1.998
110	2.068
111	2.059
112	1.945
113	1.953
114	2.068
115	1.945
116	2.07
117	2.18
118	2.174
119	2.225
120	2.318
121	2.326
122	2.256
123	2.115
124	2.25
125	2.225
126	2.207
127	2.172
128	2.217
129	2.2
130	2.078
131	2.312
132	2.16
133	2.195
134	2.248
135	2.207
136	2.037
137	2.281
138	2.072
139	2.227
Average	2.07
Standard deviation	0.113
Median	2.068
