Frame	RMSD ($\AA$)
1	0.546
2	1.148
3	1.118
4	1.153
5	0.96
6	0.989
7	1.033
8	0.886
9	0.966
10	1.01
11	1.118
12	1.052
13	1.022
14	1.073
15	1.06
16	1.052
17	1.27
18	1.142
19	1.153
20	1.04
21	1.175
22	1.102
23	1.226
24	1.176
25	1.172
26	1.181
27	1.197
28	1.171
29	1.161
30	1.186
31	1.14
32	1.148
33	1.37
34	1.133
35	1.346
36	1.124
37	1.133
38	1.217
39	1.201
40	1.103
41	1.156
42	1.187
43	1.138
44	1.091
45	1.082
46	1.118
47	1.109
48	1.125
49	1.224
50	1.204
51	1.254
52	1.188
53	1.185
54	1.082
55	1.104
56	1.194
57	1.233
58	1.171
59	1.099
60	1.003
61	1.064
62	1.122
63	1.074
64	1.05
65	1.15
66	1.238
67	1.222
68	1.211
69	1.137
70	1.129
71	1.088
72	1.116
73	1.176
74	1.062
75	1.196
76	1.0
77	1.168
78	1.149
79	1.102
80	1.112
81	1.092
82	1.183
83	1.104
84	1.166
85	1.086
86	1.158
87	1.049
88	1.004
89	0.938
90	1.053
91	1.056
92	1.135
93	1.018
94	0.956
95	0.969
96	1.171
97	1.119
98	1.111
99	1.055
100	0.953
101	0.948
102	0.878
103	0.862
104	0.974
105	1.071
106	1.002
107	1.038
108	0.954
109	1.014
110	0.952
111	0.939
112	1.007
113	1.079
114	1.033
115	0.986
116	1.103
117	1.043
118	1.122
119	1.135
120	1.141
121	1.061
122	1.25
123	1.086
124	1.171
125	1.146
126	1.068
127	1.166
128	1.099
129	1.13
130	1.068
131	1.036
132	1.104
133	1.062
134	0.95
135	0.976
136	0.998
137	0.988
138	1.055
139	0.992
140	1.031
141	1.052
142	1.106
143	1.061
144	1.163
145	0.919
146	1.119
147	1.073
148	1.089
149	1.037
150	1.12
151	1.21
152	1.184
153	1.172
154	1.089
155	1.203
156	1.123
157	1.114
158	1.122
159	1.281
160	1.179
161	1.182
162	1.205
163	1.074
164	1.304
165	1.164
166	1.211
167	1.08
168	1.144
169	1.162
170	1.163
171	1.116
172	1.186
173	1.192
174	1.162
175	1.342
176	1.289
177	1.16
178	1.25
179	1.152
180	1.173
181	1.175
182	1.204
183	1.28
184	1.429
185	1.311
186	1.166
187	1.302
188	1.159
189	1.311
190	1.228
191	1.265
192	1.24
193	1.286
194	1.117
195	1.206
196	1.317
197	1.218
198	1.26
199	1.335
200	1.336
201	1.423
202	1.253
203	1.243
204	1.224
205	1.225
206	1.345
207	1.464
208	1.323
209	1.341
210	1.274
211	1.289
212	1.311
213	1.321
214	1.303
215	1.282
216	1.262
217	1.337
218	1.377
219	1.5
220	1.419
221	1.53
222	1.487
223	1.445
224	1.312
225	1.257
226	1.284
227	1.369
228	1.325
229	1.37
230	1.483
231	1.423
232	1.387
233	1.407
234	1.387
235	1.336
236	1.443
237	1.36
238	1.288
239	1.382
240	1.449
241	1.338
242	1.312
243	1.356
244	1.39
245	1.557
246	1.429
247	1.447
248	1.464
249	1.371
250	1.449
251	1.493
252	1.317
253	1.311
254	1.422
255	1.329
256	1.385
257	1.417
258	1.297
259	1.404
260	1.424
261	1.435
262	1.438
263	1.482
264	1.359
265	1.436
266	1.44
267	1.458
268	1.563
269	1.558
270	1.414
271	1.388
272	1.518
273	1.468
274	1.441
275	1.337
276	1.442
277	1.317
278	1.239
279	1.406
280	1.277
281	1.425
282	1.278
283	1.319
284	1.367
285	1.322
286	1.337
287	1.417
288	1.318
289	1.227
290	1.394
291	1.289
292	1.316
293	1.329
294	1.281
295	1.387
296	1.386
297	1.406
298	1.394
299	1.397
300	1.291
301	1.306
302	1.252
303	1.35
304	1.376
305	1.271
306	1.33
307	1.418
308	1.31
309	1.376
310	1.33
311	1.288
312	1.361
313	1.455
314	1.494
315	1.48
316	1.454
317	1.403
318	1.241
319	1.312
320	1.322
321	1.413
322	1.37
323	1.456
324	1.506
325	1.346
326	1.438
327	1.471
328	1.411
329	1.379
330	1.334
331	1.388
332	1.307
333	1.326
334	1.376
335	1.28
336	1.43
337	1.329
338	1.31
339	1.387
340	1.414
341	1.493
342	1.511
343	1.467
344	1.561
345	1.389
346	1.625
347	1.481
348	1.524
349	1.562
350	1.658
351	1.538
352	1.565
353	1.726
354	1.531
355	1.612
356	1.559
357	1.583
358	1.602
359	1.571
360	1.667
361	1.722
362	1.678
363	1.703
364	1.713
365	1.819
366	1.682
367	1.622
368	1.704
369	1.613
370	1.629
371	1.733
372	1.782
373	1.687
374	1.646
375	1.623
376	1.588
377	1.683
378	1.744
379	1.755
380	1.729
381	1.718
382	1.716
383	1.636
384	1.808
385	1.786
386	1.7
387	1.625
388	1.653
389	1.635
390	1.778
391	1.678
392	1.64
393	1.667
394	1.714
395	1.77
396	1.606
397	1.556
398	1.582
399	1.659
400	1.444
401	1.613
402	1.629
403	1.601
404	1.571
405	1.82
406	1.724
407	1.703
408	1.794
409	1.615
410	1.721
411	1.901
412	1.741
413	1.837
414	1.797
415	1.805
416	1.72
417	1.905
418	1.754
419	1.739
420	1.748
421	1.824
422	1.748
423	1.719
424	1.827
425	1.904
426	1.779
427	1.769
428	1.578
429	1.567
430	1.636
431	1.737
432	1.687
433	1.705
434	1.629
435	1.693
436	1.591
437	1.547
438	1.643
439	1.795
440	1.721
441	1.75
442	1.653
443	1.576
444	1.642
445	1.508
446	1.64
447	1.751
448	1.593
449	1.591
450	1.727
451	1.762
452	1.597
453	1.647
454	1.568
455	1.638
456	1.654
457	1.605
458	1.607
459	1.555
460	1.504
461	1.73
462	1.488
463	1.498
464	1.614
465	1.615
466	1.677
467	1.567
468	1.57
469	1.648
470	1.602
471	1.592
472	1.652
473	1.679
474	1.557
475	1.717
476	1.692
477	1.748
478	1.662
479	1.713
480	1.644
481	1.675
482	1.672
483	1.638
484	1.66
485	1.646
486	1.811
487	1.655
488	1.785
489	1.833
490	1.739
491	1.747
492	1.665
493	1.755
494	1.759
495	1.823
496	1.88
497	1.767
498	1.713
499	1.976
500	1.911
501	1.952
502	1.817
503	1.873
504	1.839
505	1.842
506	1.855
507	1.813
508	1.874
509	1.82
510	1.801
511	1.736
512	1.832
513	1.825
514	1.808
515	1.984
516	1.895
517	1.9
518	1.949
519	1.837
520	1.772
521	1.728
522	1.806
523	1.901
524	1.724
525	1.708
526	1.728
527	1.908
528	1.745
529	1.614
530	1.924
531	1.824
532	1.95
533	1.732
534	1.826
535	1.759
536	1.688
537	1.901
538	1.702
539	1.72
540	1.594
541	1.634
542	1.729
543	1.625
544	1.595
545	1.716
546	1.629
547	1.688
548	1.695
549	1.696
550	1.616
551	1.739
552	1.679
553	1.721
554	1.867
555	1.831
556	1.756
557	1.656
558	1.686
559	1.709
560	1.628
561	1.521
562	1.536
563	1.482
564	1.487
565	1.579
566	1.636
567	1.514
568	1.559
569	1.56
570	1.655
571	1.569
572	1.562
573	1.478
574	1.652
575	1.626
576	1.633
577	1.589
578	1.606
579	1.442
580	1.518
581	1.657
582	1.522
583	1.623
584	1.622
585	1.617
586	1.588
587	1.568
588	1.52
589	1.614
590	1.551
591	1.593
592	1.701
593	1.671
594	1.671
595	1.632
596	1.587
597	1.655
598	1.651
599	1.828
600	1.685
601	1.678
602	1.649
603	1.676
604	1.681
605	1.619
606	1.706
607	1.689
608	1.678
609	1.803
610	1.787
611	1.716
612	1.861
613	1.808
614	1.709
615	1.864
616	1.825
617	2.098
618	2.092
619	1.89
620	1.999
621	1.972
622	2.037
623	1.992
624	1.938
625	1.907
626	2.121
627	2.084
628	1.977
629	2.021
630	2.033
631	1.854
632	1.806
633	1.773
634	1.751
635	1.699
636	1.73
637	1.921
638	1.759
639	1.846
640	1.832
641	1.931
642	1.874
643	1.939
644	1.915
645	1.95
646	1.941
647	2.025
648	1.84
649	1.84
650	1.68
651	1.619
652	1.752
653	1.885
654	1.736
655	1.685
656	1.714
657	1.562
658	1.559
659	1.766
660	1.761
661	1.675
662	1.604
663	1.665
664	1.617
665	1.75
666	1.795
667	1.802
668	1.669
669	1.647
670	1.578
671	1.749
672	1.779
673	1.684
674	1.646
675	1.758
676	1.699
677	1.541
678	1.687
679	1.78
680	1.611
681	1.832
682	1.592
683	1.694
684	1.68
685	1.679
686	1.668
687	1.743
688	1.706
689	1.635
690	1.647
691	1.691
692	1.692
693	1.538
694	1.796
695	1.569
696	1.655
697	1.746
698	1.675
699	1.701
700	1.546
701	1.703
702	1.771
703	1.852
704	1.788
705	1.826
706	1.807
707	1.863
708	1.707
709	1.625
710	1.708
711	1.768
712	1.764
713	1.879
714	1.815
715	1.747
716	1.83
717	1.744
718	1.905
719	1.908
720	1.876
721	1.802
722	1.969
723	1.932
724	1.87
725	1.851
726	1.736
727	1.658
728	1.852
729	1.793
730	1.648
731	1.689
732	1.861
733	1.805
734	1.62
735	1.783
736	1.82
737	1.781
738	1.822
739	1.744
740	1.78
741	1.622
742	1.594
743	1.697
744	1.623
745	1.661
746	1.727
747	1.669
748	1.812
749	1.708
750	1.732
751	1.783
752	1.703
753	1.683
754	1.562
755	1.585
756	1.658
757	1.715
758	1.639
759	1.576
760	1.552
761	1.722
762	1.713
763	1.604
764	1.746
765	1.7
766	1.764
767	1.652
768	1.557
769	1.688
770	1.611
771	1.595
772	1.636
773	1.7
774	1.72
775	1.653
776	1.727
777	1.7
778	1.765
779	1.788
780	1.786
781	1.721
782	1.715
783	1.715
784	1.682
785	1.603
786	1.613
787	1.708
788	1.834
789	1.744
790	1.792
791	1.823
792	1.695
793	1.736
794	1.705
795	1.804
796	1.897
797	1.604
798	1.884
799	1.708
800	1.807
801	1.869
802	1.865
803	1.801
804	1.802
805	1.81
806	1.816
807	1.844
808	1.766
809	1.85
810	1.717
811	1.794
812	1.782
813	1.742
814	1.659
815	1.623
816	1.757
817	1.832
818	1.847
819	1.814
820	1.788
821	1.879
822	1.859
823	1.784
824	1.725
825	1.842
826	1.815
827	1.8
828	1.73
829	1.821
830	1.549
831	1.73
832	1.692
833	1.815
834	1.84
835	1.759
836	1.924
837	1.903
838	2.1
839	2.047
840	1.837
841	1.799
842	1.815
843	1.995
844	1.87
845	1.842
846	1.925
847	1.88
848	1.897
849	1.934
850	1.854
851	1.856
852	1.671
853	1.674
854	1.88
855	1.825
856	1.876
857	1.834
858	1.869
859	1.743
860	1.75
861	2.006
862	1.813
863	1.788
864	1.737
865	1.685
866	1.673
867	1.681
868	1.82
869	1.702
870	1.628
871	1.759
872	1.821
873	1.774
874	1.564
875	1.673
876	1.663
877	1.953
878	1.646
879	1.812
880	1.588
881	1.546
882	1.699
883	1.54
884	1.621
885	1.78
886	1.807
887	1.825
888	1.679
889	1.724
890	1.837
891	1.764
892	1.816
893	1.854
894	1.764
895	1.843
896	1.819
897	1.835
898	1.834
899	1.7
900	1.559
901	1.657
902	1.676
903	1.76
904	1.942
905	1.968
906	1.695
907	1.888
908	1.787
909	1.777
910	1.792
911	1.898
912	1.741
913	1.85
914	1.888
915	1.793
916	1.786
917	1.942
918	1.766
919	1.916
920	1.806
921	1.91
922	1.906
923	1.854
924	1.652
925	1.711
926	1.781
927	1.724
928	1.662
929	1.873
930	1.761
931	1.769
932	1.847
933	1.832
934	1.843
935	1.827
936	1.755
937	1.582
938	1.766
939	1.747
940	1.789
941	1.647
942	1.72
943	1.763
944	1.853
945	1.803
946	1.825
947	1.94
948	1.891
949	2.016
950	1.962
951	1.978
952	1.971
953	1.922
954	1.968
955	1.868
956	1.88
957	1.975
958	1.906
959	1.845
960	1.837
961	1.878
962	1.832
963	1.773
964	1.946
965	1.767
966	1.726
967	1.906
968	1.672
969	1.848
970	1.867
971	1.701
972	1.692
973	1.793
974	1.819
975	1.811
976	1.844
977	1.888
978	1.812
979	1.68
980	1.844
981	1.782
982	1.606
983	1.725
984	1.755
985	1.731
986	1.781
987	1.748
988	1.753
989	1.74
990	1.67
991	1.68
992	1.613
993	1.755
994	1.715
995	1.709
996	1.702
997	1.768
998	1.73
999	1.68
1000	1.798
1001	1.68
1002	1.771
1003	1.794
1004	1.84
1005	1.946
1006	1.992
1007	1.887
1008	1.862
1009	2.03
1010	1.87
1011	1.95
1012	1.799
1013	1.769
1014	1.771
1015	1.779
1016	1.853
1017	1.771
1018	1.886
1019	1.798
1020	1.761
1021	1.826
1022	1.871
1023	1.849
1024	1.753
1025	1.769
1026	1.747
1027	1.691
1028	1.742
1029	1.83
1030	1.702
1031	1.639
1032	1.822
1033	1.702
1034	1.739
1035	1.771
1036	1.698
1037	1.75
1038	1.741
1039	1.746
1040	1.56
1041	1.749
1042	1.722
1043	1.59
1044	1.756
1045	1.74
1046	1.764
1047	1.729
1048	1.785
1049	1.771
1050	1.81
1051	1.876
1052	1.867
1053	1.892
1054	1.813
1055	1.929
1056	1.962
1057	1.904
1058	1.852
1059	1.781
1060	1.843
1061	1.896
1062	1.891
1063	1.726
1064	1.828
1065	1.746
1066	1.657
1067	1.805
1068	1.803
1069	1.801
1070	1.81
1071	1.745
1072	1.623
1073	1.656
1074	1.695
1075	1.716
1076	1.645
1077	1.77
1078	1.578
1079	1.639
1080	1.64
1081	1.839
1082	1.812
1083	1.831
1084	1.927
1085	1.594
1086	1.682
1087	1.657
1088	1.643
1089	1.81
1090	1.589
1091	1.742
1092	1.765
1093	1.855
1094	1.812
1095	1.805
1096	1.974
1097	1.843
1098	1.761
1099	1.873
1100	1.771
1101	1.752
1102	1.88
1103	1.798
1104	1.876
1105	1.781
1106	1.838
1107	1.876
1108	1.711
1109	1.901
1110	1.915
1111	1.961
1112	1.7
1113	1.72
1114	1.675
1115	1.815
1116	1.616
1117	1.587
1118	1.647
1119	1.648
1120	1.762
1121	1.796
1122	1.758
1123	1.519
1124	1.809
1125	1.667
1126	1.738
1127	1.73
1128	1.729
1129	1.656
1130	1.738
1131	1.743
1132	1.782
1133	1.7
1134	1.895
1135	1.907
1136	1.737
1137	1.708
1138	1.844
1139	1.817
1140	1.942
1141	1.847
1142	1.859
1143	1.916
1144	1.894
1145	1.87
1146	1.9
1147	1.761
1148	1.792
1149	1.744
1150	1.781
1151	1.777
1152	1.722
1153	1.631
1154	1.691
1155	1.686
1156	1.761
1157	1.739
1158	1.715
1159	1.695
1160	1.938
1161	1.73
1162	1.755
1163	1.807
1164	1.931
1165	1.922
1166	1.863
1167	1.693
1168	1.951
1169	1.854
1170	2.08
1171	1.877
1172	1.903
1173	1.899
1174	1.789
1175	1.955
1176	1.904
1177	1.869
1178	1.909
1179	2.018
1180	1.868
1181	1.815
1182	1.827
1183	1.942
1184	2.0
1185	2.016
1186	1.891
1187	1.894
1188	1.898
1189	2.064
1190	2.025
1191	1.941
1192	1.887
1193	1.826
1194	1.951
1195	1.781
1196	1.812
1197	1.729
1198	1.978
1199	1.974
1200	1.882
1201	1.883
1202	2.07
1203	1.923
1204	1.918
1205	1.891
1206	1.901
1207	1.913
1208	1.767
1209	1.76
1210	1.925
1211	1.802
1212	1.931
1213	1.91
1214	1.824
1215	1.851
1216	1.833
1217	1.952
1218	1.94
1219	1.853
1220	1.9
1221	1.96
1222	1.804
1223	1.949
1224	1.768
1225	1.924
1226	1.87
1227	1.87
1228	2.055
1229	2.084
1230	2.008
1231	2.014
1232	1.972
1233	1.913
1234	2.105
1235	2.102
1236	2.068
1237	1.85
1238	1.843
1239	1.932
1240	1.803
1241	1.854
1242	1.883
1243	1.757
1244	1.771
1245	1.805
1246	1.885
1247	1.685
1248	1.866
1249	1.878
1250	1.859
1251	1.77
1252	1.809
1253	1.837
1254	1.988
1255	1.841
1256	1.75
1257	1.917
1258	1.987
1259	1.907
1260	1.976
1261	1.782
1262	1.913
1263	1.855
1264	1.974
1265	1.793
1266	1.775
1267	1.826
1268	1.729
1269	1.743
1270	1.78
1271	1.733
1272	1.735
1273	1.904
