Frame	X	Y	Z
1	3.812	10.93	-24.53
2	4.516	10.32	-24.83
3	3.232	11.37	-24.27
4	3.783	11.09	-25.16
5	3.238	11.086	-24.28
6	3.08	11.04	-24.45
7	2.555	11.36	-24.66
8	3.352	10.516	-24.98
9	3.164	10.375	-24.98
10	2.85	10.87	-24.4
11	2.258	11.22	-24.7
12	2.848	11.234	-24.58
13	3.059	11.0	-24.98
14	4.113	10.97	-24.92
15	5.266	11.66	-24.3
16	4.555	11.695	-24.19
17	4.098	11.74	-24.42
18	3.678	11.25	-24.22
19	3.822	10.79	-24.64
20	4.523	11.26	-24.58
21	4.18	10.58	-24.42
22	3.617	10.46	-24.86
23	4.2	10.875	-24.69
24	4.363	10.97	-24.34
25	3.787	11.05	-24.7
26	4.613	10.9	-24.39
27	5.64	11.69	-24.16
28	4.637	10.914	-24.88
29	3.988	10.42	-24.98
30	4.55	10.65	-24.69
31	4.24	10.82	-24.28
32	4.297	11.055	-24.64
33	3.748	10.95	-24.88
34	4.414	11.16	-25.17
35	4.2	10.41	-25.03
36	3.586	10.52	-24.89
37	4.188	11.15	-24.88
38	4.28	10.49	-24.77
39	3.326	10.555	-24.84
40	3.068	11.234	-24.72
41	4.137	11.266	-24.75
42	3.506	11.53	-24.88
43	2.854	10.734	-25.03
44	3.482	10.72	-25.47
45	3.385	11.664	-24.12
46	3.586	11.68	-24.55
47	4.266	11.4	-24.94
48	2.682	10.484	-24.9
49	3.914	10.83	-25.1
50	3.986	11.03	-25.05
51	3.402	10.94	-25.03
52	3.764	10.68	-25.47
53	4.125	10.516	-25.94
54	2.867	11.33	-25.05
55	3.87	10.35	-25.16
56	4.21	10.73	-25.28
57	3.018	10.305	-25.4
58	3.816	11.086	-25.14
59	3.236	11.625	-25.22
60	3.154	10.53	-24.98
61	3.523	10.01	-25.56
62	3.014	10.25	-25.12
63	3.357	11.414	-24.77
64	3.73	11.08	-24.84
65	2.621	10.91	-25.28
66	3.531	11.305	-25.25
67	3.053	10.73	-25.83
68	4.465	10.58	-25.44
69	4.26	11.24	-25.5
70	4.855	11.83	-25.56
71	2.803	10.43	-25.1
72	3.771	11.59	-24.84
73	3.732	11.63	-25.33
74	2.695	10.68	-25.02
75	2.336	11.43	-24.83
76	3.893	11.98	-24.86
77	3.613	12.16	-25.08
78	2.814	10.19	-25.19
79	4.3	11.41	-25.61
80	3.852	10.54	-25.16
81	3.242	11.15	-25.16
82	3.611	11.2	-25.39
83	3.877	11.37	-25.47
84	2.777	11.71	-24.69
85	4.395	10.95	-25.4
86	3.896	10.8	-24.88
87	3.553	11.27	-25.47
88	3.066	10.766	-25.52
89	3.648	11.78	-25.22
90	3.928	11.95	-24.98
91	4.086	11.17	-25.53
92	4.348	10.805	-25.36
93	4.32	10.95	-25.27
94	4.31	11.63	-24.89
95	3.398	10.28	-25.3
96	3.752	11.555	-25.27
97	3.822	11.01	-25.2
98	4.707	11.65	-25.27
99	4.164	10.875	-25.22
100	2.934	11.17	-24.92
101	4.293	11.04	-25.78
102	3.758	11.39	-25.48
103	4.81	11.36	-25.22
104	4.688	10.84	-25.62
105	3.96	11.125	-25.14
106	3.916	11.23	-25.06
107	5.176	11.23	-25.28
108	4.145	11.07	-24.81
109	4.754	10.92	-25.69
110	4.09	11.36	-25.39
111	4.074	11.17	-25.27
112	4.707	10.62	-25.83
113	4.28	11.55	-25.31
114	4.133	11.67	-25.28
115	4.48	10.73	-25.6
116	4.06	11.016	-25.3
117	3.488	11.47	-25.05
118	3.23	11.24	-25.27
119	4.094	10.914	-25.58
120	5.984	10.42	-25.56
121	5.293	11.414	-25.4
122	6.062	11.555	-25.25
123	5.414	11.44	-24.89
124	4.64	11.8	-25.05
125	5.477	11.27	-25.47
126	5.914	11.08	-24.98
127	5.465	10.87	-25.66
128	5.277	11.45	-25.38
129	6.605	11.234	-25.55
130	6.273	11.336	-24.78
131	5.457	11.33	-25.47
132	5.363	11.2	-25.34
133	5.734	11.77	-25.3
134	4.992	11.86	-25.25
135	5.66	11.37	-25.14
136	6.21	11.32	-25.73
137	5.65	11.19	-24.88
138	6.332	10.945	-25.02
139	6.33	10.74	-24.98
140	5.69	10.99	-25.22
141	5.734	10.92	-25.22
142	6.04	10.945	-25.27
143	5.94	11.12	-25.27
144	6.004	11.2	-25.17
145	5.17	11.21	-25.08
146	5.61	11.26	-25.16
147	4.867	11.266	-24.86
148	5.027	11.195	-24.8
149	4.805	10.98	-25.39
150	4.816	11.0	-25.34
151	4.902	11.2	-25.81
152	4.938	11.39	-25.06
153	4.82	10.336	-25.22
154	4.59	11.414	-24.98
155	5.016	10.99	-25.02
156	5.027	10.69	-25.23
157	4.21	11.47	-25.39
158	3.488	11.71	-24.81
159	4.82	11.44	-24.86
160	4.453	10.59	-25.3
