Frame	X	Y	Z
1	14.28	-2.482	11.46
2	14.7	-2.457	11.805
3	14.39	-2.594	11.25
4	14.78	-2.062	11.875
5	14.27	-2.219	11.18
6	14.414	-2.674	11.75
7	15.0	-2.81	11.08
8	15.445	-2.111	11.945
9	14.59	-1.997	11.664
10	14.91	-2.615	11.484
11	14.35	-2.736	11.555
12	14.28	-3.098	11.46
13	14.55	-2.365	11.61
14	14.87	-2.277	11.664
15	14.35	-2.086	11.88
16	14.22	-2.207	11.09
17	15.1	-1.871	11.3
18	15.06	-1.853	11.43
19	15.18	-2.262	11.44
20	15.0	-2.58	11.32
21	14.96	-2.592	11.65
22	15.75	-1.395	11.586
23	15.016	-1.828	11.695
24	15.625	-1.774	11.56
25	16.31	-1.577	12.03
26	16.64	-0.942	12.12
27	16.03	-1.267	12.03
28	15.73	-1.854	11.8
29	16.3	-1.117	11.72
30	16.8	-1.485	11.69
31	16.19	-2.219	11.88
32	16.31	-1.274	11.7
33	16.27	-0.592	11.76
34	15.555	-2.12	11.65
35	15.65	-2.217	11.15
36	15.36	-2.44	11.22
37	14.984	-2.473	11.48
38	14.945	-2.938	11.48
39	15.29	-2.234	11.35
40	15.03	-2.246	11.41
41	15.414	-2.334	11.24
42	13.82	-2.207	11.95
43	14.2	-2.494	11.82
44	14.25	-2.479	11.8
45	13.734	-2.72	11.195
46	13.89	-2.064	11.62
47	14.875	-2.148	11.91
48	14.99	-2.498	11.94
49	15.03	-2.682	11.59
50	14.05	-2.201	11.86
51	14.49	-2.916	11.8
52	14.06	-1.824	12.0
53	13.984	-2.06	11.55
54	14.51	-2.63	11.23
55	14.38	-2.371	12.08
56	14.2	-2.35	11.77
57	14.805	-1.831	11.7
58	14.63	-2.107	11.7
59	14.42	-2.736	11.79
60	14.67	-1.742	11.76
61	13.47	-2.613	11.47
62	13.375	-2.21	11.17
63	13.83	-2.666	11.125
64	13.555	-2.629	11.02
65	13.85	-2.318	11.305
66	13.9	-2.482	11.37
67	14.37	-2.033	11.68
68	13.59	-2.635	11.555
69	14.09	-2.414	11.51
70	14.44	-1.84	11.695
71	13.91	-2.11	11.76
72	13.94	-2.045	11.26
73	14.3	-2.102	11.516
74	14.28	-2.266	12.15
75	14.57	-2.613	11.56
76	15.33	-2.047	10.81
77	15.445	-2.021	11.51
78	15.3	-2.414	11.44
79	13.78	-1.946	11.7
80	14.52	-2.156	11.4
81	14.414	-2.084	11.55
82	14.055	-2.307	11.02
83	14.945	-1.908	11.6
84	14.64	-2.068	11.8
85	14.6	-2.117	11.49
86	15.29	-1.996	11.586
87	14.945	-1.511	11.29
88	14.15	-1.677	11.78
89	14.26	-2.268	11.33
90	14.97	-1.717	11.4
91	14.234	-2.332	11.65
92	14.06	-1.724	11.56
93	14.24	-1.767	11.89
94	14.04	-1.872	12.086
95	13.516	-2.486	11.17
96	13.46	-2.54	11.45
97	13.85	-1.853	11.82
98	13.73	-2.215	11.586
99	14.54	-2.652	11.52
100	14.42	-2.475	11.74
101	14.086	-2.115	11.31
102	13.94	-2.395	11.61
103	13.82	-2.191	11.66
104	13.805	-2.254	11.4
105	14.51	-2.082	11.96
106	14.37	-1.83	11.42
107	14.12	-1.595	11.97
108	14.49	-2.434	11.555
109	13.84	-2.006	10.62
110	13.92	-2.096	10.766
111	13.96	-2.314	10.59
112	13.36	-2.213	10.66
113	13.66	-2.41	10.52
114	13.26	-2.346	10.766
115	13.87	-2.09	11.09
116	14.06	-2.352	10.766
117	13.23	-2.092	11.35
118	13.1	-2.152	10.7
119	14.11	-2.227	11.414
120	14.414	-1.663	12.13
121	14.805	-1.622	11.97
122	15.445	-2.027	11.49
123	13.15	-2.377	11.61
124	13.414	-2.088	11.18
125	13.34	-2.002	11.08
126	14.28	-2.17	11.46
127	14.91	-1.836	11.69
128	14.25	-1.978	12.14
129	15.03	-2.135	11.586
130	14.36	-2.066	11.32
131	14.76	-1.935	11.06
132	14.71	-2.043	11.84
133	14.87	-1.703	11.97
134	14.695	-1.809	11.9
135	14.52	-2.041	11.65
136	14.875	-1.861	11.46
137	15.125	-1.91	11.695
138	14.68	-2.252	11.73
139	14.73	-2.47	11.0
140	15.11	-2.197	11.54
141	14.414	-2.086	11.84
142	15.22	-2.037	11.22
143	15.016	-1.703	11.31
144	14.18	-1.907	11.52
145	15.22	-2.207	11.73
146	14.24	-1.646	11.766
147	14.69	-1.664	11.39
148	14.38	-1.57	11.49
149	15.336	-2.367	11.17
150	15.05	-2.322	11.52
151	15.31	-2.377	11.01
152	14.92	-2.293	11.16
153	14.8	-2.164	11.44
154	14.72	-2.281	11.66
155	15.36	-2.002	11.41
156	15.06	-2.457	11.125
157	15.26	-1.918	11.82
158	14.89	-2.25	11.95
159	15.51	-1.608	11.84
160	16.16	-1.706	11.2
161	15.71	-2.469	11.875
162	16.45	-2.543	11.24
163	16.17	-1.959	11.53
164	16.58	-0.705	11.7
165	15.41	-0.904	12.08
166	16.06	-1.569	12.18
167	16.89	-1.272	11.56
168	16.4	-1.845	11.66
169	16.6	-1.979	11.85
170	16.39	-1.788	11.54
171	16.08	-2.654	11.83
172	16.64	-1.805	11.19
173	15.695	-1.567	11.67
174	15.72	-1.613	12.086
175	16.55	-0.766	12.02
176	17.14	-0.908	12.47
177	17.02	-1.102	12.266
178	16.27	-1.757	12.234
179	16.31	-1.817	11.695
180	16.42	-2.113	12.44
181	16.4	-2.479	12.02
182	16.23	-2.316	11.586
183	16.1	-2.172	12.21
184	15.79	-1.708	12.43
185	16.45	-2.002	12.01
186	16.3	-1.354	12.125
187	16.97	-1.594	12.09
188	16.97	-1.782	12.375
189	16.66	-2.197	12.086
190	16.58	-1.478	12.02
191	16.67	-1.205	12.35
192	16.52	-1.678	12.05
193	16.39	-1.819	12.2
194	16.98	-1.854	12.27
195	16.39	-1.306	12.23
Average	14.92	-2.059	11.6
