Frame	X	Y	Z
1	2.926	-12.77	-22.75
2	4.07	-14.414	-21.89
3	2.754	-13.65	-22.8
4	3.203	-14.31	-21.7
5	2.994	-13.66	-22.92
6	3.205	-12.85	-23.36
7	2.514	-13.36	-22.89
8	2.69	-12.16	-23.33
9	3.064	-13.055	-23.38
10	2.96	-13.54	-22.61
11	3.129	-13.016	-22.86
12	3.012	-13.11	-22.97
13	3.012	-12.914	-22.9
14	2.783	-13.76	-22.48
15	3.223	-13.34	-22.66
16	3.467	-13.55	-22.42
17	2.861	-12.766	-22.95
18	3.469	-13.34	-22.62
19	3.225	-12.91	-23.02
20	3.373	-12.805	-22.94
21	3.352	-13.68	-22.66
22	2.71	-13.1	-22.81
23	2.377	-13.75	-22.94
24	3.137	-13.016	-22.64
25	2.992	-13.89	-21.97
26	3.293	-13.25	-22.62
27	3.969	-13.77	-22.16
28	3.773	-13.84	-22.55
29	3.78	-13.37	-22.61
30	3.295	-13.2	-22.58
31	2.547	-12.65	-22.95
32	3.674	-12.87	-22.48
33	3.584	-13.9	-22.39
34	3.645	-13.81	-22.58
35	2.559	-13.484	-23.34
36	1.9	-12.56	-23.17
37	2.336	-13.56	-23.02
38	2.21	-13.64	-23.17
39	2.281	-13.97	-23.28
40	2.213	-13.71	-22.67
41	2.734	-13.31	-22.69
42	2.004	-13.78	-22.77
43	2.25	-14.19	-22.78
44	2.8	-13.445	-22.81
45	2.812	-14.29	-23.02
46	2.629	-13.73	-22.53
47	2.582	-13.48	-23.58
48	2.953	-13.33	-23.02
49	3.133	-13.4	-22.5
50	3.377	-13.19	-22.52
51	3.303	-13.4	-22.47
52	3.297	-13.234	-22.53
53	4.312	-13.76	-22.58
54	3.34	-13.71	-22.31
55	3.424	-13.87	-22.45
56	3.416	-14.664	-21.66
57	3.309	-13.46	-22.81
58	3.037	-13.58	-22.9
59	2.41	-12.78	-22.88
60	2.672	-13.36	-22.5
61	2.426	-13.52	-22.69
62	2.514	-13.17	-23.17
63	2.957	-12.89	-23.2
64	2.734	-13.52	-22.53
65	3.393	-14.17	-22.58
66	3.203	-13.98	-23.36
67	3.307	-13.56	-22.67
68	3.164	-14.22	-22.61
69	2.785	-13.305	-23.03
70	2.938	-12.85	-22.95
71	3.055	-13.41	-23.14
72	3.877	-13.43	-22.72
73	2.957	-14.02	-22.3
74	3.352	-13.37	-23.3
75	3.387	-13.33	-22.73
76	3.416	-13.17	-22.77
77	3.832	-13.38	-22.81
78	4.28	-12.73	-22.67
79	3.195	-13.625	-22.58
80	3.205	-13.88	-22.92
81	2.96	-13.484	-22.61
82	3.021	-13.31	-22.7
83	3.988	-13.58	-22.19
84	3.656	-13.95	-22.03
85	4.055	-13.875	-21.55
86	3.512	-13.12	-22.97
87	2.715	-14.07	-22.39
88	2.836	-13.33	-22.88
89	3.428	-13.66	-22.58
90	2.438	-13.47	-22.8
91	2.963	-13.45	-22.56
92	3.414	-13.516	-23.06
93	3.406	-13.305	-22.94
94	2.844	-13.88	-22.55
95	3.137	-13.51	-22.86
96	3.432	-13.445	-22.39
97	3.215	-13.25	-22.84
98	2.666	-12.84	-23.27
99	2.793	-13.56	-22.73
100	2.58	-13.41	-23.34
101	2.867	-13.195	-23.22
102	3.95	-13.51	-22.4
103	2.895	-13.01	-22.92
104	2.293	-13.84	-23.1
105	3.467	-13.586	-22.61
106	3.61	-13.445	-22.73
107	3.707	-13.38	-22.48
108	3.877	-13.32	-22.89
109	3.154	-13.086	-22.56
110	1.639	-12.945	-23.33
111	3.844	-13.875	-22.66
112	2.607	-12.586	-23.27
113	2.162	-12.83	-23.28
114	2.535	-13.05	-22.84
115	2.512	-13.08	-22.97
116	1.926	-13.09	-23.48
117	2.082	-12.56	-23.86
118	2.277	-12.97	-23.12
119	1.986	-12.65	-24.0
120	1.42	-12.92	-23.66
121	2.414	-13.016	-23.38
122	1.984	-13.83	-23.48
123	2.14	-12.94	-23.48
124	2.385	-13.2	-23.48
125	1.672	-13.98	-23.34
126	1.979	-12.664	-24.03
127	2.086	-13.57	-22.72
128	3.262	-13.9	-22.42
129	2.18	-13.266	-23.2
130	2.904	-13.9	-22.55
131	2.371	-13.805	-22.75
132	3.035	-14.38	-22.69
133	2.793	-13.38	-23.23
134	3.139	-13.49	-23.12
135	3.473	-14.05	-22.27
136	3.004	-13.44	-23.86
137	3.004	-15.06	-22.44
138	3.191	-13.766	-23.38
139	2.738	-13.66	-23.08
Average	2.97	-13.44	-22.83
