Frame	X	Y	Z
1	15.76	1.331	11.805
2	15.92	1.86	11.78
3	15.45	1.908	11.53
4	15.98	1.623	11.8
5	15.25	1.547	11.37
6	15.42	1.527	11.87
7	15.05	2.1	11.51
8	15.56	1.66	12.11
9	15.55	2.176	12.266
10	15.98	2.092	12.07
11	16.64	1.859	12.1
12	15.305	1.623	11.97
13	15.46	1.289	11.68
14	15.98	1.971	12.09
15	15.8	2.246	11.84
16	15.74	2.207	11.54
17	15.88	2.527	11.84
18	16.03	1.983	12.12
19	16.25	1.446	12.07
20	15.83	1.75	12.08
21	15.85	1.311	11.93
22	16.36	1.448	12.3
23	15.77	1.857	12.02
24	15.82	1.38	12.27
25	15.87	3.104	11.18
26	15.71	1.61	11.62
27	16.31	0.798	12.1
28	16.02	1.361	12.3
29	15.445	1.531	12.09
30	15.76	1.707	11.85
31	16.12	2.299	12.01
32	16.36	1.75	11.945
33	15.13	2.326	11.52
34	16.25	1.513	11.75
35	16.23	1.577	12.14
36	16.39	2.203	11.94
37	15.93	2.508	12.23
38	15.27	2.117	12.29
39	16.72	2.088	12.234
40	15.96	1.771	11.9
41	15.41	2.43	11.48
42	15.016	2.256	11.2
43	15.516	2.86	11.51
44	15.55	2.67	11.31
45	15.75	2.23	11.41
46	15.4	2.754	11.24
47	15.125	2.705	11.1
48	14.85	2.762	11.1
49	15.266	2.268	11.18
50	15.8	2.895	11.39
51	15.6	2.594	11.26
52	15.336	2.443	11.47
53	15.12	2.633	11.03
54	15.31	2.33	10.914
55	15.13	1.628	11.64
56	15.945	0.88	11.766
57	15.625	2.727	11.305
58	15.24	1.861	11.61
59	15.125	2.406	11.32
60	15.18	2.818	10.98
61	15.51	2.598	11.234
62	15.24	2.871	10.94
63	15.26	2.664	10.78
64	14.36	2.463	11.01
65	14.734	2.465	11.18
66	15.14	2.707	11.125
67	15.75	2.021	11.97
68	16.03	2.264	11.73
69	15.45	2.215	11.18
70	15.55	1.98	11.24
71	16.22	1.881	11.555
72	16.06	2.074	11.36
73	15.06	0.928	11.27
74	15.88	1.507	11.79
75	15.83	1.454	11.766
76	15.57	1.798	11.79
77	15.77	1.606	11.76
78	15.72	1.789	11.8
79	15.38	0.962	12.02
80	15.84	1.128	11.84
81	15.42	2.371	11.516
82	16.33	1.664	12.15
83	15.39	1.825	11.61
84	15.74	2.031	11.52
85	15.65	1.959	11.42
86	15.695	1.936	11.69
87	15.414	2.123	11.56
88	15.734	1.129	12.3
89	15.234	1.877	11.56
90	16.05	1.506	12.22
91	15.53	1.888	11.73
92	16.45	0.776	11.95
93	16.22	1.594	12.07
94	15.87	1.457	12.016
95	15.59	1.386	12.4
96	15.89	1.851	11.32
97	15.94	2.293	11.72
98	15.055	2.283	11.586
99	15.8	1.706	11.89
100	15.984	2.139	12.15
101	15.7	2.82	11.53
102	15.1	2.422	11.01
103	16.23	2.473	11.77
104	15.74	1.846	12.16
105	15.91	1.328	12.05
106	15.87	1.532	11.88
107	15.51	1.987	11.34
108	16.36	2.018	11.68
109	15.97	1.847	11.71
110	15.95	2.18	11.945
111	15.84	2.07	11.13
112	15.81	1.427	12.12
113	15.14	1.985	11.71
114	15.484	1.852	11.75
115	15.51	1.162	11.18
116	15.87	2.008	11.516
117	15.414	2.547	11.41
118	15.29	2.77	11.14
119	15.62	2.863	11.51
120	15.69	2.742	11.484
121	14.914	3.014	11.36
122	15.055	2.963	10.67
123	15.39	2.627	11.305
124	15.61	3.434	11.2
125	15.414	2.88	11.34
126	15.19	2.955	11.234
127	15.19	2.8	10.99
128	15.72	2.742	10.62
129	15.32	2.926	11.43
130	15.17	2.72	11.28
131	14.484	3.232	11.11
132	15.664	2.69	11.336
133	15.69	3.043	10.89
134	15.45	3.207	11.76
135	15.73	3.006	11.41
136	15.87	2.434	11.61
137	16.34	3.066	11.38
138	15.77	2.928	11.48
139	15.41	3.201	11.65
Average	15.64	2.115	11.62
