Frame	X	Y	Z
1	2.072	-15.445	-22.4
2	1.942	-14.42	-23.5
3	1.817	-15.1	-23.16
4	2.168	-15.23	-23.38
5	1.815	-15.24	-23.78
6	1.615	-15.05	-23.34
7	2.076	-14.21	-23.6
8	2.123	-15.08	-23.2
9	1.364	-14.09	-23.98
10	1.694	-14.625	-23.84
11	1.792	-14.53	-24.25
12	2.027	-14.43	-24.02
13	0.86	-14.7	-24.36
14	1.597	-15.734	-23.2
15	2.293	-15.23	-23.84
16	1.96	-15.18	-23.58
17	2.078	-14.72	-23.52
18	1.883	-14.65	-23.78
19	1.987	-15.14	-23.34
20	1.756	-15.37	-23.34
21	1.894	-14.4	-23.64
22	1.919	-14.93	-23.36
23	2.146	-14.055	-24.1
24	1.024	-14.414	-24.0
25	1.761	-14.29	-23.64
26	1.832	-13.875	-24.2
27	1.831	-14.71	-23.34
28	1.367	-14.45	-24.1
29	1.812	-14.51	-23.8
30	2.26	-14.29	-23.44
31	1.734	-14.9	-23.5
32	2.076	-14.09	-23.5
33	1.534	-14.67	-23.36
34	2.129	-14.93	-23.4
35	1.893	-14.055	-24.4
36	1.395	-14.59	-23.73
37	1.521	-14.54	-23.6
38	2.08	-14.47	-24.16
39	2.04	-15.25	-23.48
40	2.104	-14.03	-23.83
41	1.683	-14.83	-23.61
42	1.843	-14.414	-23.64
43	1.838	-14.8	-23.45
44	2.033	-15.32	-23.66
45	3.111	-15.08	-23.1
46	2.428	-15.21	-23.42
47	3.102	-14.99	-24.05
48	2.756	-15.29	-23.45
49	1.854	-14.47	-23.81
50	2.729	-14.625	-22.97
51	2.994	-14.016	-23.64
52	3.129	-15.06	-23.42
53	2.547	-15.0	-23.1
54	1.604	-15.17	-23.84
55	3.31	-14.98	-23.17
56	2.865	-14.805	-23.19
57	2.852	-15.8	-23.25
58	3.16	-15.16	-22.86
59	2.54	-14.78	-23.48
60	1.758	-14.945	-23.56
61	1.701	-15.08	-23.7
62	1.921	-14.96	-23.69
63	1.957	-14.85	-23.69
64	1.598	-14.734	-23.98
65	2.896	-14.98	-23.45
66	2.1	-15.05	-23.52
67	2.508	-14.06	-23.88
68	2.39	-14.87	-23.47
69	3.207	-14.33	-23.62
70	2.502	-15.125	-23.3
71	2.72	-15.2	-23.58
72	2.877	-15.375	-23.14
73	2.623	-14.586	-23.64
74	2.863	-13.68	-23.97
75	2.518	-13.97	-24.1
76	2.58	-14.61	-23.53
77	2.36	-14.484	-23.83
78	2.514	-14.945	-23.45
79	2.326	-14.14	-23.78
80	2.76	-15.18	-23.22
81	2.172	-14.336	-23.1
82	1.977	-15.3	-23.44
83	2.082	-14.75	-23.52
84	2.412	-14.81	-23.3
85	2.295	-15.16	-23.05
86	2.396	-15.055	-23.06
87	2.004	-15.48	-23.14
88	1.69	-14.875	-23.97
89	1.82	-14.664	-23.86
90	1.631	-15.52	-23.27
91	2.604	-15.305	-23.38
92	2.092	-14.805	-23.48
93	1.696	-14.59	-23.62
94	2.654	-15.22	-22.7
95	2.604	-15.05	-22.8
96	2.75	-15.484	-23.75
97	2.436	-14.54	-23.28
98	2.693	-15.23	-23.19
99	1.912	-14.984	-23.47
100	2.521	-14.8	-23.38
101	1.79	-14.64	-23.33
102	2.457	-15.16	-22.7
103	2.37	-14.6	-22.73
104	2.549	-15.18	-23.14
105	1.793	-15.12	-23.39
106	2.516	-15.08	-23.19
107	2.05	-15.43	-23.27
108	2.326	-15.016	-23.16
109	1.938	-15.96	-23.03
110	2.732	-15.19	-23.3
111	2.754	-15.26	-23.17
112	2.914	-15.38	-22.98
113	1.512	-14.71	-23.66
114	1.333	-14.36	-23.98
115	2.078	-15.34	-23.72
116	2.273	-14.555	-23.28
117	2.2	-14.76	-23.42
118	0.993	-14.89	-23.62
119	1.479	-14.97	-24.05
120	2.344	-14.83	-23.55
121	2.154	-15.27	-23.34
122	1.963	-15.1	-23.16
123	2.088	-15.15	-23.38
124	2.316	-14.89	-22.75
125	2.15	-14.03	-23.8
126	1.906	-14.8	-23.38
127	2.287	-14.82	-23.11
128	2.25	-14.38	-23.42
129	2.287	-15.52	-23.34
130	2.691	-15.45	-23.12
131	1.935	-15.52	-23.14
132	2.38	-15.31	-23.06
133	2.352	-15.016	-23.06
134	2.15	-15.11	-22.89
135	2.414	-14.83	-23.02
136	2.07	-15.0	-23.11
137	2.367	-15.305	-22.95
138	2.17	-15.266	-23.5
139	2.201	-15.07	-23.36
140	2.258	-15.58	-23.28
141	2.457	-14.96	-23.38
142	2.658	-14.87	-23.47
143	2.395	-14.555	-23.7
144	2.193	-14.68	-23.25
145	2.303	-15.14	-22.72
