Frame	X	Y	Z
1	13.89	-3.297	10.97
2	16.72	-2.037	11.55
3	16.48	-2.139	11.445
4	16.94	-2.28	11.9
5	16.3	-2.281	11.72
6	16.02	-2.227	11.97
7	16.8	-2.469	11.484
8	16.3	-2.645	11.18
9	16.22	-2.102	11.414
10	16.45	-1.959	11.21
11	16.88	-1.631	11.195
12	16.23	-1.671	11.72
13	16.22	-1.691	11.305
14	16.55	-2.123	11.3
15	16.05	-1.96	11.23
16	16.16	-1.606	11.52
17	17.25	-1.582	11.91
18	16.92	-1.552	11.67
19	17.1	-1.101	11.38
20	16.52	-2.023	11.51
21	16.86	-1.827	12.086
22	17.05	-2.354	11.56
23	17.19	-1.565	11.44
24	16.94	-1.985	11.55
25	16.89	-2.154	11.67
26	16.11	-2.193	11.73
27	16.86	-1.971	12.18
28	16.39	-1.739	11.734
29	16.5	-2.178	11.56
30	16.97	-2.453	11.74
31	16.7	-2.318	11.766
32	16.89	-2.457	12.016
33	16.98	-2.943	12.02
34	16.84	-2.318	11.805
35	16.56	-2.338	12.08
36	17.08	-2.531	11.97
37	16.67	-2.45	11.9
38	17.22	-2.178	12.375
39	17.31	-2.365	11.89
40	16.48	-2.488	12.47
41	16.86	-2.652	11.914
42	16.98	-2.713	12.06
43	16.83	-2.17	11.69
44	16.36	-2.668	12.3
45	16.58	-2.777	12.08
46	16.53	-2.6	12.086
47	16.3	-2.443	12.016
48	16.12	-2.283	11.83
49	16.66	-2.223	12.086
50	17.25	-1.6	11.94
51	16.73	-1.272	12.1
52	17.14	-1.657	11.93
53	16.77	-1.593	12.07
54	16.33	-1.913	11.83
55	16.72	-2.39	12.195
56	16.67	-2.076	11.96
57	16.98	-1.831	11.53
58	16.83	-2.59	11.72
59	16.16	-1.846	11.39
60	15.21	-2.266	11.945
61	15.69	-1.688	12.05
62	15.64	-1.662	11.875
63	15.87	-1.544	11.88
64	15.61	-1.741	11.96
65	15.8	-1.57	11.56
66	16.08	-1.172	12.18
67	16.02	-1.955	12.516
68	16.12	-1.852	12.0
69	16.28	-2.36	11.81
70	15.88	-1.812	12.125
71	15.83	-2.045	12.17
72	16.38	-2.367	12.06
73	16.16	-2.01	11.98
74	15.91	-2.146	12.016
75	15.91	-2.127	12.55
76	15.766	-2.262	11.75
77	16.16	-2.006	12.35
78	15.96	-1.862	12.29
79	15.74	-2.02	11.99
80	15.93	-2.424	12.234
81	15.66	-2.172	12.64
82	16.0	-1.427	11.875
83	15.9	-1.941	12.1
